Proband;Alter;Alter_Gruppe;Geschlecht;Bildung;PC_Nutzung_pJ;PC_Nutzung_bJ;PC_Nutzung_pS;PC_Nutzung_bS;Kenntnisse_Betriebssystem;Kenntnisse_Internet;Kenntnisse_Programme;Betriebssystem_Win;Betriebssystem_Mac;Betriebssystem_Linux;Betriebssystem_Andere;Schwere;bekannt;UrsacheNennen;Lokation;Stabilitaet;Kontrollierbarkeit;Globalitaet;Aufgabe
24;24;1;1;6;14;14;3;5;5;6;5;0;1;0;0;5;7;Bauverordnung schwer zu finden viel Text.;5;6;5;4;2
24;24;1;1;6;14;14;3;5;5;6;5;0;1;0;0;5;5;Problem wurde in der Hilfe nicht aufgeführt.;3;6;4;6;4
24;24;1;1;6;14;14;3;5;5;6;5;0;1;0;0;7;7;Nicht ersichtlich wie ich das Problem lösen sollte und das Gefühl das es gar nicht zu lösen war.;7;7;4;5;6
25;20;1;2;5;6;6;3;5;5;7;6;1;0;0;0;7;4;Unübersichtilich gestaltet. Man bräuchte eine Übersicht für die einzelnen Stadtteile.;4;7;1;6;2
25;20;1;2;5;6;6;3;5;5;7;6;1;0;0;0;7;5;Keine Bezeichnung gefunden die unterstreicht. Schwierig zu verstehen wenn man nicht häufig mit dem Programm arbeitet.;6;7;1;5;4
25;20;1;2;5;6;6;3;5;5;7;6;1;0;0;0;7;7;Logischerweise müsste man bei der Gewichtstabelle einen Überblick finden , dies ist jedoch nicht der Fall. Bei anderen Kategorien wäre es nicht logisch.;6;7;1;6;6
26;21;1;2;5;7;14;2;3;5;7;7;1;1;0;0;7;7;Es gab unter Ämter und Bereiche das Amt für Bau, es gab keinen Verweis auf eine Bauverordnung, ohne die Schnellsuchfunktion könnte derb Link wahrscheinlich nicht gefunden werden. Oder er ist unter einer ganz anderen Rubrik abgespeichert.;5;5;4;2;2
26;21;1;2;5;7;14;2;3;5;7;7;1;1;0;0;6;5;über die Hilffunktion konnte ich den Verweis Unterstreichen finden, aber die Ausführung konnte ich nicht durchführen, welche mir der Computer vorgegeben hatte.;3;4;2;5;4
26;21;1;2;5;7;14;2;3;5;7;7;1;1;0;0;6;7;es lag daran, das ich das Ernährungstagebuch als verweis nicht gefunden habe, ich bin über den Link Ernährungstagebuch gestoßen, konnte aber nur Häkchen setzen. Was nicht der Aufgabe entsprach.;1;5;4;3;5
26;21;1;2;5;7;14;2;3;5;7;7;1;1;0;0;7;7;Die App ist unübersichtlich aufgebaut. Man kann zwar sein Gewicht auf Anhieb finden, aber nicht das verlorene. Unübersichtliche Apps, sind nervenauftreibend, und eh man alles gefunden hat löscht man doch lieber die App und sucht nach einer Auswahlmöglichkeit;4;5;6;4;6
27;27;2;1;6;17;5;1;1;6;6;2;1;0;0;0;6;7;Unübersichtliche Weiterleitung;6;7;2;6;2
27;27;2;1;6;17;5;1;1;6;6;2;1;0;0;0;7;7;Keine Führung in der Nutzeranwendung;7;7;7;5;6
28;66;3;1;6;10;0;3;0;5;5;5;1;0;0;0;7;2;wahrscheinlich falsches Stichwort gesucht;3;4;1;7;2
28;66;3;1;6;10;0;3;0;5;5;5;1;0;0;0;5;7;entsprechenden Befehl nicht gefunden;3;3;1;7;4
28;66;3;1;6;10;0;3;0;5;5;5;1;0;0;0;5;7;Schwierigkeiten bei der Bedienung;4;5;1;4;5
28;66;3;1;6;10;0;3;0;5;5;5;1;0;0;0;6;7;Keine Erfahrung in der Bedienung;2;5;1;5;6
29;60;3;2;5;5;111;2;0;1;1;1;1;0;0;0;7;7;Verständnis  unübersichtlich;1;7;4;4;1
29;60;3;2;5;5;111;2;0;1;1;1;1;0;0;0;7;7;Seite ist unübersichtlich;5;7;2;6;2
29;60;3;2;5;5;111;2;0;1;1;1;1;0;0;0;7;7;Frage nicht verstanden;1;7;7;7;3
29;60;3;2;5;5;111;2;0;1;1;1;1;0;0;0;7;7;Unkenntnis;1;7;7;7;4
29;60;3;2;5;5;111;2;0;1;1;1;1;0;0;0;7;7;Unsicherheit bei der Anwendung;1;7;7;7;6
30;27;2;1;6;15;10;4;8;7;6;7;1;0;0;0;7;3;Keine konktreten Links/Wegweiser für Bauverordnungen  Meine Idee war Bewohner->Bauen&Wohnen;6;4;3;5;2
30;27;2;1;6;15;10;4;8;7;6;7;1;0;0;0;6;7;Selbst Lebensmittel hinzufügen zu spät erkannt;2;6;6;6;5
30;27;2;1;6;15;10;4;8;7;6;7;1;0;0;0;7;7;"Alle Einstellungen durchgegangen -> Keine Option Gewicht gesamt verloren gefunden ;(";5;6;3;3;6
31;53;3;1;6;25;23;1;8;5;7;5;1;0;0;1;7;4;Auf der Seite des Bauamtes gab es nur einen Link nach Juris , der aber nicht benutzt werden durfte.   Bauverordnung wurde nicht genannt auf der Homepage der Stadt.;7;7;7;5;2
31;53;3;1;6;25;23;1;8;5;7;5;1;0;0;1;7;7;kein Menü für die Ermittlung der Differenz gefunden;6;6;2;4;6
32;26;2;2;5;15;10;2;4;5;6;6;1;0;0;0;7;3;Bauordnung hat man relativ schnell gefunden aber für die jeweiligen Stadtteilbüros hat man keine Informationen gefunden.;7;7;7;1;2
32;26;2;2;5;15;10;2;4;5;6;6;1;0;0;0;7;4;mangelnde Kenntnisse mit Calc. schlechte usability;6;7;3;3;3
32;26;2;2;5;15;10;2;4;5;6;6;1;0;0;0;7;4;mangelnder Umgang mit Calc.;5;7;3;3;4
32;26;2;2;5;15;10;2;4;5;6;6;1;0;0;0;5;7;Die Gewichtstabelle hat man schnell gefunden aber kein Bearbeitungsbutton oben rechts so wie in der Aufgabe davor so das man Einstellung dran vornehmen hätte können.;6;6;4;3;6
41;25;1;2;6;8;10;2;9;5;6;6;1;0;0;1;2;3;Schlechte aufteilung für den bereich dieser Seite;6;7;3;4;2
41;25;1;2;6;8;10;2;9;5;6;6;1;0;0;1;1;7;Funktion zum doppelt Unterstreichen nicht gefunden;7;7;2;1;4
41;25;1;2;6;8;10;2;9;5;6;6;1;0;0;1;1;7;Anzeige nicht gefunden;7;7;1;1;6
42;0;0;0;0;111;111;111;111;0;0;0;0;0;0;0;7;7;kein Hinweis für die Lösung der Fragestellung im Programm;4;6;4;5;6
43;50;2;2;2;6;5;2;6;1;2;1;1;0;0;0;6;4;Zuviel Beschreibungen drum herum;2;5;3;4;2
43;50;2;2;2;6;5;2;6;1;2;1;1;0;0;0;5;7;Kompliziert;1;5;2;6;3
44;47;2;2;5;14;18;1;8;4;4;4;1;0;0;0;2;1;Seite wurde nicht gefunden;7;6;7;7;2
45;23;1;2;5;6;4;3;3;3;3;2;1;0;0;0;6;6;ich konnte keine suchfunktion verwenden;2;6;4;3;2
45;23;1;2;5;6;4;3;3;3;3;2;1;0;0;0;6;7;ich kannte das programm nicht;1;1;2;5;3
45;23;1;2;5;6;4;3;3;3;3;2;1;0;0;0;5;7;ich wusste nicht wo ich noch hätte rauf drücken können.;4;6;3;5;6
46;0;0;0;0;111;111;111;111;0;0;0;0;0;0;0;7;3;nicht aufzufinden die Funktion;7;7;3;2;6
47;21;1;2;5;6;3;2;8;6;7;4;0;1;0;0;7;7;Keine genauen Angagebn gefunden;7;4;4;4;2
47;21;1;2;5;6;3;2;8;6;7;4;0;1;0;0;7;7;Keine Ahnung vom Programm;4;7;4;3;3
47;21;1;2;5;6;3;2;8;6;7;4;0;1;0;0;6;7;unübersichtlich;7;5;4;4;6
